City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Population Density,Longitude,Latitude,Air quailty,Sunshine
cambridge,massachusetts,63.43770385,1,125.3,2995,7111.9,-71.1185,42.3759,Nah,Nah
san francisco,california,61.75233379,2,178.6,4382.5,7199.4,-122.4449,37.7558,9.1,67
seattle,washington,50.8101285,3,124.6,2600,3412.2,-122.3244,47.6211,7.1,45
"washington, d.c. ",district of columbia,52.23,4,120.1,2730,4434,-77.0163,38.9047,9.6,Nah
arlington,virginia,37.41954797,5,99.2,2400,3511.4,-77.1011,38.8786,Nah,Nah
boston,massachusetts,6.072043277,6,132.6,2900,5505.8,-71.0852,42.3188,8.3,58
berkeley,california,55.98266932,7,121.7,3600,4554.9,-122.276,37.8722,Nah,Nah
minneapolis,minnesota,54.42721384,8,105.4,1800,3035.5,-93.2678,44.9635,8.8,Nah
new york city,new york,20.303,9,128,2900,10768.2,-73.9249,40.6943,9.8,Nah
pittsburgh,pennsylvania,36,10,93.1,1400,2100.7,-79.9763,40.4397,11.8,42
santa clara,california,37.82790666,11,105.6,3350,2677.1,-121.968,37.3646,Nah,Nah
alexandria,virginia,105.3399099,12,86.2,2250,4092.5,-77.0861,38.8185,Nah,Nah
denver,colorado,44.92407479,13,112.1,2150,1805.7,-104.8758,39.762,10.3,69
jersey city,new jersey,24.26568808,14,121.9,2200,6878.3,-74.0686,40.7184,Nah,Nah
sunnyvale,california,23.49879568,15,106.2,3800,2670.3,-122.0255,37.3836,Nah,Nah
bellevue,washington,29.6138482,16,117.8,2800,1686.3,-122.1535,47.5951,Nah,Nah
atlanta,georgia,36.92923413,17,100.3,1800,1419.9,-84.422,33.7628,9.7,60
portland,oregan,57.47952769,18,116.5,1995,1881.6,-122.65,45.5371,6.4,50
austin,texas,41.1140476,19,106.6,1750,1165.6,-97.7522,30.3005,9.4,58
chicago,illinois,39.2580301,20,100.1,1750,4576.6,-87.6866,41.8375,10.8,52
irvine,california,13.70471482,21,109.9,3490,1604.7,-117.7738,33.6772,Nah,Nah
ann arbor,michigan,19.7977102,22,99.3,1600,1658,-83.731,42.2759,8.8,Nah
plano,texas,18.30863719,23,106.5,2000,1555.8,-96.7486,33.0502,Nah,Nah
oakland,california,76.92449474,24,127.8,3000,2917.1,-122.2166,37.7904,Nah,Nah
pasadena,california,30.58123874,25,100.9,2850,2388,-118.139,34.1597,Nah,Nah
philadelphia,pennsylvania,34.66,26,103.4,1500,4544.9,-75.1339,40.0077,10.1,55
madison,wisconsin,28.3385004,27,99.5,1790,1253.6,-89.393,43.0822,9.5,52
providence,rhode island,35.0741536,28,111.5,2100,3764.8,-71.4187,41.823,9.3,57
charleston,south carolina,26.32835216,29,101.7,1997,460.9,-79.9687,32.8168,9.5,Nah
orlando,florida,55.65178694,30,101.4,1599,992,-81.337,28.4773,7.6,Nah
st. paul,minnesota,41.77101362,31,102,1645,2272.3,-93.1039,44.9478,Nah,Nah
tempe,arizona,42.28520247,32,92.9,1699,1852.3,-111.9319,33.3881,Nah,Nah
stamford,connecticut,15.81750562,33,119.2,2400,1334.9,-73.5585,41.1039,Nah,Nah
san diego,california,22.44237333,34,136.2,2750,1675.9,-117.1222,32.8313,11.2,69
st. louis,missouri,81.1058129,35,89.6,1095,1905.7,-90.2451,38.6359,Nah,57
torrance,california,21.57966153,36,93.2,3250,2717.9,-118.3416,33.8346,Nah,Nah
new haven,connecticut,46.94468711,37,107.7,1450,2693.4,-72.9246,41.3113,8.8,Nah
cincinnati,ohio,51.47114576,38,92.4,1500,1500.2,-84.506,39.1413,12.1,Nah
overland park,kansas,24.47,39,83.4,1645,993.3,-94.687,38.887,Nah,Nah
charlotte,north carolina,22.33714789,40,97.9,1499,1091,-80.8303,35.2083,9.3,64
grand rapids,michigan,25.45106765,41,93.7,1350,1719.6,-85.6562,42.9619,10.1,46
new orleans,louisiana,64.37294993,42,92.4,1600,891.2,-89.9288,30.0687,7.6,58
irving,texas,26.88827046,43,87.7,1892,1386.2,-96.9702,32.8583,Nah,Nah
columbia,maryland,60.27356305,44,91.9,2000,1274.5,-76.859,39.2004,Nah,Nah
salt lake city,utah,63.69735113,45,105.9,1550,700.3,-111.9311,40.7776,10.3,66
miami,florida,42.60933809,46,110.1,2400,4945.7,-80.2101,25.784,9.5,72
tampa,florida,20.33702787,47,101.4,1650,1340.7,-82.4447,27.9945,8.5,69
boulder,colorado,32.82374515,48,118.7,2400,1594.5,-105.2524,40.0248,10,Nah
raleigh,north carolina,20.38808944,49,99.7,1495,1232.8,-78.6429,35.8324,9.2,59
richmond,virginia,47.05013155,50,99.2,1350,1477,-77.4756,37.5295,8.3,62
honolulu,hawaii,32.72226337,51,158,2200,2214.1,-157.846,21.3294,Nah,65
buffalo,new york,42.36055161,52,97.3,1100,2446.1,-78.8487,42.9018,7.7,47
nashville,tennessee,66.88893519,53,100.1,1700,541.3,-86.7842,36.1715,9.4,55
columbus,ohio,48.24120603,54,93.9,1255,1559.5,-82.9855,39.9862,9.9,45
omaha,nebraska,42.56707497,55,92.9,1250,1299.2,-96.0529,41.2627,8.9,61
the woodlands,texas,18.59,56,131,2000,1021.9,-95.5134,30.1738,Nah,Nah
durham,north carolina,45.37572873,57,99.8,1550,939.7,-78.9022,35.9792,8,Nah
dallas,texas,41.84200778,58,98.5,1700,1522.2,-96.7667,32.7935,9.6,61
scottsdale,arizona,21.16991216,59,97.6,2400,535.1,-111.8651,33.6872,Nah,Nah
fort lauderdale,florida,55.09701513,60,96.6,2099.5,2040.2,-80.15,26.133333,Nah,Nah
rochester,new york,42.19294452,61,97.3,1305,2227.6,-77.6162,43.168,7.2,48
denton,texas,37.07815275,62,89,1650,557.5,-97.1418,33.2175,Nah,Nah
los angeles,california,31.15491642,63,140.6,3550,3267.6,-118.4068,34.1141,13.4,72
athens,georgia,71.83514662,64,95,1560,414.8,-83.3689,33.9508,10.1,Nah
gainesville,florida,41.7514898,65,97.3,1300,814.2,-82.3459,29.6804,6.9,Nah
